// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426F3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57802	0	0	0	0	0	4.330180	2.119933	8.577507	-0.003155	0.005756	0.007743	-0.774170	-0.391846	-0.495605	-0.494004	-0.253950	0.020037	-0.831305	14.038563	-26.232646	115.271388	-0.382938	0.811159	0.442017	-0.831513	-0.511116	0.217591	0.402423	-0.284219	0.870215	0	0	0
57803	0	0	0	0	0	4.329878	2.119421	8.577786	0.000299	0.005732	0.010243	-0.772705	-0.400391	-0.498535	-0.493964	-0.253945	0.020030	-0.831330	14.037547	-26.232406	115.277323	-0.383023	0.811121	0.442013	-0.831468	-0.511197	0.217576	0.402437	-0.284183	0.870221	0	0	0
57804	0	0	0	0	0	4.358551	2.137467	8.576993	-0.006962	0.006102	0.007365	-0.772949	-0.398926	-0.500244	-0.493966	-0.253921	0.020054	-0.831336	14.033289	-26.231500	115.278604	-0.383044	0.811119	0.441999	-0.831488	-0.511191	0.217513	0.402375	-0.284200	0.870244	0	0	0
57805	0	0	0	0	0	4.329357	2.118087	8.578379	-0.001195	0.002197	0.007291	-0.769531	-0.400146	-0.499023	-0.493961	-0.253926	0.020064	-0.831337	14.032540	-26.232668	115.279134	-0.383047	0.811107	0.442017	-0.831486	-0.511199	0.217500	0.402375	-0.284219	0.870238	0	0	0
57806	0	0	0	0	0	4.323786	2.094555	8.584428	-0.001469	0.004669	0.009133	-0.774414	-0.398682	-0.504639	-0.493949	-0.253921	0.020070	-0.831346	14.031044	-26.232804	115.281289	-0.383077	0.811092	0.442020	-0.831477	-0.511223	0.217477	0.402364	-0.284219	0.870243	0	0	0
57807	0	0	0	0	0	4.337908	2.133554	8.549681	-0.000763	0.004028	0.004887	-0.773682	-0.400391	-0.491699	-0.493955	-0.253919	0.020071	-0.831343	14.031051	-26.232577	115.280482	-0.383067	0.811099	0.442016	-0.831485	-0.511211	0.217477	0.402359	-0.284221	0.870245	0	0	0
57808	0	0	0	0	0	4.328726	2.116915	8.578987	-0.000900	0.005264	0.005808	-0.770020	-0.397461	-0.498535	-0.493956	-0.253913	0.020070	-0.831344	14.030751	-26.231920	115.280668	-0.383072	0.811102	0.442006	-0.831486	-0.511210	0.217474	0.402351	-0.284214	0.870251	0	0	0
57809	0	0	0	0	0	4.340660	2.126146	8.526989	-0.001174	0.007735	0.007651	-0.765625	-0.400146	-0.499268	-0.493950	-0.253896	0.020066	-0.831353	14.029569	-26.230115	115.282347	-0.383101	0.811104	0.441977	-0.831483	-0.511222	0.217459	0.402331	-0.284188	0.870269	0	0	0
57810	0	0	0	0	0	4.313289	2.136799	8.545744	-0.002667	0.004201	0.004698	-0.762695	-0.400635	-0.498047	-0.493957	-0.253890	0.020073	-0.831350	14.028633	-26.229895	115.281680	-0.383093	0.811110	0.441974	-0.831495	-0.511207	0.217446	0.402312	-0.284198	0.870274	0	0	0
57811	0	0	0	0	0	4.334559	2.102366	8.533365	0.002552	0.005238	0.008309	-0.775391	-0.396729	-0.499268	-0.493958	-0.253891	0.020065	-0.831350	14.029584	-26.229428	115.281437	-0.383091	0.811115	0.441967	-0.831492	-0.511207	0.217461	0.402322	-0.284184	0.870274	0	0	0
