// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13933	0	0	0	0	0	9.828736	0.123412	-0.552831	0.010945	0.012926	-0.000465	-0.813232	-0.154053	-0.391113	0.685872	0.075240	-0.721090	0.062829	166.191563	-86.973958	-154.982298	-0.047837	-0.022325	0.998606	-0.194695	0.980783	0.012600	-0.979697	-0.193820	-0.051264	0	0	0
13934	0	0	0	0	0	9.834066	0.164856	-0.557722	0.011753	0.010142	0.000820	-0.805420	-0.160400	-0.389648	0.685898	0.075272	-0.721059	0.062864	166.170189	-86.978338	-154.955464	-0.047757	-0.022315	0.998610	-0.194788	0.980765	0.012601	-0.979682	-0.193915	-0.051185	0	0	0
13935	0	0	0	0	0	9.816171	0.137197	-0.566197	0.013909	0.015590	-0.005925	-0.806396	-0.157959	-0.395752	0.685944	0.075336	-0.721006	0.062888	166.064659	-86.984903	-154.842833	-0.047610	-0.022360	0.998616	-0.194910	0.980739	0.012667	-0.979665	-0.194037	-0.051051	0	0	0
13936	0	0	0	0	0	9.790152	0.161070	-0.522919	0.012953	0.017512	0.001017	-0.803955	-0.155273	-0.399658	0.685996	0.075370	-0.720950	0.062931	166.025636	-86.993433	-154.797526	-0.047458	-0.022334	0.998624	-0.195016	0.980718	0.012666	-0.979651	-0.194147	-0.050898	0	0	0
13937	0	0	0	0	0	9.782992	0.140214	-0.571221	0.012953	0.017511	0.001019	-0.806396	-0.164063	-0.382568	0.686048	0.075404	-0.720893	0.062976	165.987248	-87.002016	-154.752680	-0.047305	-0.022308	0.998631	-0.195126	0.980696	0.012664	-0.979637	-0.194260	-0.050744	0	0	0
13938	0	0	0	0	0	9.788364	0.181606	-0.575520	0.014971	0.018264	-0.000015	-0.800781	-0.162354	-0.381836	0.686102	0.075449	-0.720833	0.063024	165.935884	-87.010785	-154.693759	-0.047144	-0.022291	0.998639	-0.195254	0.980671	0.012672	-0.979619	-0.194391	-0.050585	0	0	0
13939	0	0	0	0	0	9.795694	0.202315	-0.523918	0.013835	0.015155	-0.001805	-0.810547	-0.159180	-0.397217	0.686146	0.075498	-0.720783	0.063061	165.873672	-87.017661	-154.624552	-0.047008	-0.022297	0.998646	-0.195374	0.980647	0.012698	-0.979602	-0.194512	-0.050455	0	0	0
13940	0	0	0	0	0	9.813916	0.154303	-0.540829	0.016116	0.017536	-0.000734	-0.799072	-0.154541	-0.392090	0.686196	0.075551	-0.720724	0.063112	165.816466	-87.025877	-154.558968	-0.046854	-0.022289	0.998653	-0.195517	0.980618	0.012713	-0.979581	-0.194658	-0.050303	0	0	0
13941	0	0	0	0	0	9.834677	0.164927	-0.546818	0.018341	0.011821	-0.000579	-0.801270	-0.156494	-0.392090	0.686226	0.075612	-0.720685	0.063168	165.778410	-87.031066	-154.511364	-0.046753	-0.022289	0.998658	-0.195680	0.980585	0.012724	-0.979553	-0.194822	-0.050207	0	0	0
13942	0	0	0	0	0	9.787907	0.177718	-0.496786	0.015375	0.009159	0.004882	-0.808594	-0.159912	-0.387939	0.686246	0.075640	-0.720658	0.063229	165.804282	-87.035517	-154.530010	-0.046691	-0.022240	0.998662	-0.195802	0.980561	0.012683	-0.979531	-0.194948	-0.050138	0	0	0
