// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13933	0	0	0	0	0	8.601708	0.025993	4.762575	0.007474	-0.019604	0.020977	-1.085449	0.148438	-0.161865	0.157200	-0.496660	-0.092881	-0.848522	0.172462	-60.698451	-159.109363	-0.457234	-0.174515	0.872056	0.359036	-0.933323	0.001473	0.813652	0.313773	0.489404	0	0	0
13934	0	0	0	0	0	8.585817	0.003674	4.782641	0.003961	-0.014889	0.012049	-1.077881	0.144775	-0.159912	0.157226	-0.496725	-0.092859	-0.848482	0.161932	-60.706402	-159.098868	-0.457089	-0.174556	0.872124	0.359058	-0.933314	0.001383	0.813724	0.313775	0.489283	0	0	0
13935	0	0	0	0	0	8.602957	0.041450	4.776646	0.002082	-0.017797	0.013385	-1.077881	0.146973	-0.161865	0.157272	-0.496801	-0.092840	-0.848431	0.148783	-60.715927	-159.083879	-0.456908	-0.174623	0.872205	0.359115	-0.933292	0.001270	0.813801	0.313803	0.489138	0	0	0
13936	0	0	0	0	0	8.610096	0.041722	4.809215	-0.001040	-0.013212	0.011597	-1.076172	0.148682	-0.167969	0.157285	-0.496863	-0.092797	-0.848397	0.135829	-60.722918	-159.073901	-0.456778	-0.174665	0.872265	0.359094	-0.933301	0.001159	0.813883	0.313755	0.489032	0	0	0
13937	0	0	0	0	0	8.623648	0.025542	4.859335	-0.011947	-0.003662	0.010476	-1.075928	0.140869	-0.151855	0.157290	-0.496889	-0.092714	-0.848390	0.117568	-60.724337	-159.062268	-0.456722	-0.174750	0.872277	0.359024	-0.933328	0.001003	0.813945	0.313627	0.489011	0	0	0
13938	0	0	0	0	0	8.607146	0.003035	4.880517	-0.009474	-0.005080	0.008581	-1.071777	0.143066	-0.151611	0.157272	-0.496921	-0.092636	-0.848383	0.102861	-60.726661	-159.055906	-0.456670	-0.174788	0.872297	0.358919	-0.933368	0.000878	0.814021	0.313485	0.488976	0	0	0
13939	0	0	0	0	0	8.605485	0.001899	4.739434	-0.003652	-0.014699	0.002893	-1.082031	0.146973	-0.165527	0.157261	-0.496984	-0.092616	-0.848350	0.097121	-60.734394	-159.053179	-0.456551	-0.174768	0.872363	0.358882	-0.933383	0.000829	0.814104	0.313453	0.488858	0	0	0
13940	0	0	0	0	0	8.576241	-0.004533	4.709025	0.002918	-0.011592	0.001224	-1.071533	0.153076	-0.161865	0.157238	-0.497031	-0.092613	-0.848327	0.097038	-60.740454	-159.055568	-0.456473	-0.174716	0.872415	0.358842	-0.933398	0.000828	0.814165	0.313437	0.488766	0	0	0
13941	0	0	0	0	0	8.553513	0.007854	4.728673	0.004120	-0.033807	0.008240	-1.074219	0.149658	-0.160156	0.157260	-0.497171	-0.092628	-0.848239	0.090308	-60.759140	-159.046603	-0.456180	-0.174685	0.872574	0.358892	-0.933379	0.000770	0.814307	0.313511	0.488481	0	0	0
13942	0	0	0	0	0	8.586642	-0.074349	4.670213	-0.010318	-0.033686	0.004217	-1.081055	0.145996	-0.157227	0.157214	-0.497323	-0.092582	-0.848164	0.079497	-60.777831	-159.044523	-0.455907	-0.174600	0.872733	0.358773	-0.933425	0.000677	0.814512	0.313422	0.488197	0	0	0
13943	0	0	0	0	0	8.553641	-0.030080	4.794513	-0.016953	-0.052085	0.007656	-1.072266	0.148926	-0.160400	0.157173	-0.497557	-0.092523	-0.848041	0.061287	-60.806987	-159.036243	-0.455467	-0.174507	0.872982	0.358649	-0.933472	0.000522	0.814813	0.313332	0.487753	0	0	0
13944	0	0	0	0	0	8.555084	0.020748	4.841176	-0.029423	-0.047302	0.008656	-1.074463	0.148682	-0.162109	0.157087	-0.497784	-0.092394	-0.847938	0.035033	-60.833503	-159.029572	-0.455070	-0.174415	0.873207	0.358385	-0.933574	0.000298	0.815152	0.313080	0.487349	0	0	0
