// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426EE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13933	0	0	0	0	0	4.462520	-2.868650	8.269143	-0.001796	0.003011	0.007924	-0.628662	0.165527	-0.435059	0.175431	-0.259793	0.106764	-0.943575	-19.159921	-26.923986	-154.308356	-0.803464	-0.386537	0.452808	0.275591	-0.915651	-0.292631	0.527727	-0.110329	0.842218	0	0	0
13934	0	0	0	0	0	4.495380	-2.862316	8.276027	0.003675	-0.000918	0.009182	-0.620605	0.160889	-0.433105	0.175458	-0.259798	0.106757	-0.943569	-19.160019	-26.924258	-154.304957	-0.803439	-0.386583	0.452812	0.275643	-0.915635	-0.292632	0.527737	-0.110297	0.842216	0	0	0
13935	0	0	0	0	0	4.461880	-2.869041	8.269353	0.001500	0.003701	0.004326	-0.620117	0.161133	-0.439209	0.175462	-0.259787	0.106755	-0.943571	-19.159536	-26.923020	-154.304904	-0.803447	-0.386588	0.452793	0.275654	-0.915633	-0.292628	0.527719	-0.110297	0.842228	0	0	0
13936	0	0	0	0	0	4.479756	-2.881431	8.280133	0.000737	0.001695	0.004847	-0.614990	0.162842	-0.446289	0.175463	-0.259785	0.106758	-0.943571	-19.159875	-26.922694	-154.304687	-0.803448	-0.386593	0.452788	0.275656	-0.915631	-0.292634	0.527717	-0.110303	0.842228	0	0	0
13937	0	0	0	0	0	4.443064	-2.857012	8.258955	0.001395	0.000372	0.005230	-0.619141	0.157715	-0.427246	0.175460	-0.259787	0.106759	-0.943571	-19.159961	-26.922925	-154.305023	-0.803449	-0.386587	0.452791	0.275648	-0.915633	-0.292634	0.527719	-0.110306	0.842226	0	0	0
13938	0	0	0	0	0	4.463464	-2.831800	8.309098	0.001825	-0.000614	0.007274	-0.614014	0.160400	-0.422852	0.175476	-0.259794	0.106758	-0.943567	-19.160565	-26.923392	-154.302845	-0.803431	-0.386616	0.452799	0.275675	-0.915622	-0.292642	0.527733	-0.110292	0.842220	0	0	0
13939	0	0	0	0	0	4.454520	-2.860193	8.291385	0.001500	0.003701	0.004325	-0.625000	0.162598	-0.439209	0.175481	-0.259784	0.106756	-0.943569	-19.160074	-26.922197	-154.302627	-0.803438	-0.386623	0.452780	0.275689	-0.915619	-0.292638	0.527715	-0.110290	0.842231	0	0	0
13940	0	0	0	0	0	4.460601	-2.869694	8.269817	0.000632	-0.001634	0.005751	-0.615234	0.170166	-0.433105	0.175488	-0.259797	0.106758	-0.943564	-19.161040	-26.923502	-154.301159	-0.803419	-0.386639	0.452800	0.275698	-0.915613	-0.292649	0.527740	-0.110284	0.842216	0	0	0
13941	0	0	0	0	0	4.472447	-2.872582	8.302138	0.005121	0.000074	0.003676	-0.618896	0.166748	-0.435791	0.175495	-0.259800	0.106736	-0.943564	-19.158672	-26.924289	-154.300819	-0.803411	-0.386641	0.452813	0.275721	-0.915618	-0.292612	0.527739	-0.110238	0.842223	0	0	0
13942	0	0	0	0	0	4.454108	-2.860040	8.291659	0.005121	0.000074	0.003676	-0.623535	0.161133	-0.430664	0.175498	-0.259803	0.106716	-0.943565	-19.156333	-26.925060	-154.300971	-0.803406	-0.386637	0.452825	0.275737	-0.915625	-0.292576	0.527738	-0.110197	0.842229	0	0	0
13943	0	0	0	0	0	4.456950	-2.838132	8.255709	0.002588	0.001392	0.006753	-0.617432	0.164307	-0.435059	0.175515	-0.259800	0.106710	-0.943563	-19.156120	-26.924599	-154.298971	-0.803396	-0.386666	0.452818	0.275773	-0.915615	-0.292574	0.527735	-0.110178	0.842233	0	0	0
13944	0	0	0	0	0	4.468570	-2.841025	8.288150	0.004236	0.001736	0.004954	-0.620605	0.163818	-0.436279	0.175522	-0.259795	0.106697	-0.943565	-19.154481	-26.924231	-154.298698	-0.803397	-0.386671	0.452812	0.275794	-0.915616	-0.292550	0.527722	-0.110151	0.842244	0	0	0
13945	0	0	0	0	0	4.474587	-2.850380	8.266670	0.000308	0.002681	0.002801	-0.625732	0.157959	-0.435303	0.175514	-0.259790	0.106699	-0.943567	-19.154352	-26.923770	-154.299784	-0.803408	-0.386658	0.452805	0.275780	-0.915620	-0.292550	0.527714	-0.110162	0.842249	0	0	0
