// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426F3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13933	0	0	0	0	0	4.429808	2.067662	8.553118	-0.004080	0.005621	0.007437	-0.774414	0.056641	-0.512939	0.408899	-0.162142	-0.200109	-0.875482	14.095311	-26.586760	-133.275795	-0.613023	-0.651075	0.447552	0.780859	-0.585516	0.217784	0.120256	0.482982	0.867333	0	0	0
13934	0	0	0	0	0	4.430627	1.999007	8.526429	-0.001266	0.004262	0.007740	-0.764648	0.050781	-0.508057	0.408907	-0.162141	-0.200106	-0.875479	14.094837	-26.586756	-133.274705	-0.613011	-0.651087	0.447552	0.780869	-0.585505	0.217776	0.120253	0.482979	0.867335	0	0	0
13935	0	0	0	0	0	4.476793	2.064333	8.517397	-0.000942	0.004962	0.004066	-0.767578	0.052979	-0.513672	0.408898	-0.162138	-0.200105	-0.875484	14.095046	-26.586171	-133.275865	-0.613027	-0.651078	0.447543	0.780856	-0.585521	0.217781	0.120254	0.482973	0.867339	0	0	0
13936	0	0	0	0	0	4.466581	2.091722	8.535651	-0.001441	0.003947	0.006067	-0.763916	0.055908	-0.517578	0.408898	-0.162138	-0.200104	-0.875484	14.094959	-26.586108	-133.275864	-0.613028	-0.651078	0.447542	0.780856	-0.585522	0.217780	0.120254	0.482971	0.867340	0	0	0
13937	0	0	0	0	0	4.438718	2.038454	8.535979	0.002046	0.003917	0.006044	-0.767090	0.047119	-0.503174	0.408911	-0.162132	-0.200117	-0.875476	14.096387	-26.586270	-133.274416	-0.613010	-0.651093	0.447545	0.780874	-0.585490	0.217801	0.120224	0.482990	0.867333	0	0	0
13938	0	0	0	0	0	4.457238	2.050928	8.527072	-0.000941	0.004962	0.004066	-0.761475	0.049805	-0.500732	0.408904	-0.162124	-0.200118	-0.875481	14.097072	-26.585364	-133.275500	-0.613027	-0.651087	0.447531	0.780862	-0.585501	0.217813	0.120215	0.482985	0.867337	0	0	0
13939	0	0	0	0	0	4.456933	2.050694	8.527288	0.000640	0.004597	0.005892	-0.771240	0.055664	-0.516602	0.408890	-0.162124	-0.200121	-0.875486	14.097775	-26.585309	-133.277383	-0.613049	-0.651067	0.447530	0.780844	-0.585521	0.217824	0.120220	0.482988	0.867335	0	0	0
13940	0	0	0	0	0	4.456635	2.050399	8.527515	-0.000592	0.005591	0.007415	-0.760742	0.060059	-0.513672	0.408898	-0.162116	-0.200119	-0.875484	14.097684	-26.584520	-133.276287	-0.613041	-0.651083	0.447517	0.780853	-0.585509	0.217824	0.120204	0.482980	0.867341	0	0	0
13941	0	0	0	0	0	4.432879	2.028666	8.514470	-0.000151	-0.000386	0.005349	-0.764893	0.056641	-0.513916	0.408906	-0.162132	-0.200133	-0.875475	14.098305	-26.586985	-133.275500	-0.613019	-0.651077	0.447556	0.780869	-0.585486	0.217829	0.120215	0.483016	0.867320	0	0	0
13942	0	0	0	0	0	4.456367	2.049866	8.527783	0.002338	0.007885	0.008589	-0.770264	0.053711	-0.507813	0.408923	-0.162110	-0.200138	-0.875469	14.099406	-26.585086	-133.273316	-0.613004	-0.651111	0.447526	0.780889	-0.585453	0.217849	0.120162	0.483010	0.867330	0	0	0
13943	0	0	0	0	0	4.441211	2.068740	8.523756	0.001698	0.003288	0.002696	-0.762451	0.054688	-0.516113	0.408913	-0.162106	-0.200153	-0.875472	14.101609	-26.585216	-133.275093	-0.613024	-0.651092	0.447528	0.780875	-0.585458	0.217882	0.120148	0.483031	0.867321	0	0	0
13944	0	0	0	0	0	4.464657	2.090149	8.537043	0.001872	0.003602	0.004371	-0.764160	0.055420	-0.516357	0.408908	-0.162099	-0.200169	-0.875472	14.103916	-26.585108	-133.276199	-0.613037	-0.651080	0.447527	0.780869	-0.585454	0.217917	0.120125	0.483051	0.867313	0	0	0
13945	0	0	0	0	0	4.440752	2.068585	8.524034	0.000815	0.004912	0.007568	-0.770264	0.049072	-0.512451	0.408930	-0.162091	-0.200174	-0.875461	14.104139	-26.584903	-133.273276	-0.613005	-0.651113	0.447523	0.780899	-0.585413	0.217921	0.120095	0.483057	0.867314	0	0	0
13946	0	0	0	0	0	4.450414	2.040623	8.506206	0.000640	0.004597	0.005893	-0.769775	0.050293	-0.508301	0.408932	-0.162084	-0.200181	-0.875461	14.105247	-26.584455	-133.273281	-0.613007	-0.651115	0.447516	0.780900	-0.585405	0.217938	0.120075	0.483063	0.867313	0	0	0
13947	0	0	0	0	0	4.425511	2.086999	8.520163	-0.002290	0.002304	0.004719	-0.764404	0.052490	-0.510986	0.408916	-0.162097	-0.200177	-0.875467	14.104746	-26.585450	-133.275354	-0.613025	-0.651088	0.447532	0.780880	-0.585434	0.217929	0.120110	0.483065	0.867307	0	0	0
13948	0	0	0	0	0	4.445064	2.076405	8.546810	-0.002289	0.002304	0.004719	-0.771484	0.048096	-0.511719	0.408907	-0.162104	-0.200177	-0.875469	14.104662	-26.586112	-133.276446	-0.613034	-0.651072	0.447542	0.780870	-0.585448	0.217926	0.120127	0.483069	0.867303	0	0	0
13949	0	0	0	0	0	4.464645	2.020597	8.510991	0.000084	0.006921	0.007090	-0.767334	0.054199	-0.508301	0.408912	-0.162094	-0.200173	-0.875470	14.104528	-26.584837	-133.275770	-0.613033	-0.651087	0.447522	0.780874	-0.585444	0.217927	0.120110	0.483055	0.867313	0	0	0
13950	0	0	0	0	0	4.420798	2.054263	8.534122	-0.001266	0.004262	0.007742	-0.769531	0.051758	-0.501221	0.408920	-0.162093	-0.200171	-0.875467	14.104052	-26.584833	-133.274678	-0.613021	-0.651098	0.447522	0.780884	-0.585433	0.217920	0.120107	0.483052	0.867315	0	0	0
13951	0	0	0	0	0	4.454148	2.047671	8.529469	0.000292	0.003968	0.002545	-0.764404	0.045898	-0.510010	0.408896	-0.162093	-0.200177	-0.875477	14.105480	-26.584656	-133.278012	-0.613060	-0.651064	0.447520	0.780852	-0.585467	0.217942	0.120114	0.483058	0.867311	0	0	0
13952	0	0	0	0	0	4.457832	2.079037	8.516383	-0.002346	0.005643	0.003916	-0.769531	0.056152	-0.509521	0.408888	-0.162085	-0.200170	-0.875484	14.105353	-26.583351	-133.279083	-0.613079	-0.651060	0.447499	0.780838	-0.585486	0.217942	0.120111	0.483040	0.867321	0	0	0
13953	0	0	0	0	0	4.477165	2.068487	8.543132	-0.001615	0.003633	0.004394	-0.767578	0.048096	-0.521729	0.408876	-0.162089	-0.200167	-0.875489	14.105216	-26.583535	-133.280587	-0.613095	-0.651042	0.447502	0.780823	-0.585507	0.217940	0.120128	0.483037	0.867320	0	0	0
13954	0	0	0	0	0	4.453217	2.046759	8.530174	-0.000765	0.005277	0.005743	-0.770508	0.046387	-0.508789	0.408876	-0.162082	-0.200167	-0.875490	14.105513	-26.582688	-133.280579	-0.613099	-0.651047	0.447489	0.780821	-0.585507	0.217946	0.120115	0.483031	0.867325	0	0	0
13955	0	0	0	0	0	4.414463	2.044059	8.512971	0.000641	0.004596	0.005895	-0.766357	0.047607	-0.514893	0.408874	-0.162078	-0.200171	-0.875491	14.106226	-26.582495	-133.280941	-0.613105	-0.651045	0.447486	0.780818	-0.585506	0.217957	0.120106	0.483036	0.867324	0	0	0
