// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13511	0	0	0	0	0	9.854946	-0.138933	0.213331	0.005483	-0.004001	0.002961	-0.739990	0.499512	-0.437744	0.599775	-0.390243	-0.580037	-0.389278	-36.251060	-88.398655	-30.655746	0.024040	-0.014249	0.999609	0.919669	0.392346	-0.016525	-0.391957	0.919708	0.022536	0	0	0
13512	0	0	0	0	0	9.857823	-0.108095	0.198336	0.004887	-0.002292	0.002820	-0.733398	0.497559	-0.433594	0.599772	-0.390245	-0.580054	-0.389256	-36.322854	-88.400181	-30.581968	0.024035	-0.014204	0.999610	0.919656	0.392377	-0.016537	-0.391989	0.919695	0.022494	0	0	0
13513	0	0	0	0	0	9.806836	-0.113991	0.216945	0.007466	0.000649	0.002969	-0.745117	0.497314	-0.430908	0.599787	-0.390228	-0.580069	-0.389228	-36.352336	-88.400177	-30.548156	0.024044	-0.014190	0.999610	0.919626	0.392447	-0.016549	-0.392059	0.919665	0.022485	0	0	0
13514	0	0	0	0	0	9.835930	-0.099317	0.173346	0.008698	0.001024	0.003815	-0.739258	0.498291	-0.431152	0.599802	-0.390215	-0.580081	-0.389199	-36.398134	-88.399831	-30.498200	0.024061	-0.014172	0.999610	0.919597	0.392513	-0.016570	-0.392126	0.919637	0.022477	0	0	0
13515	0	0	0	0	0	9.824775	-0.102453	0.206121	0.009335	0.003108	0.004519	-0.736816	0.491455	-0.432373	0.599826	-0.390197	-0.580088	-0.389171	-36.423021	-88.398439	-30.468894	0.024089	-0.014172	0.999609	0.919566	0.392585	-0.016594	-0.392196	0.919607	0.022489	0	0	0
13516	0	0	0	0	0	9.839837	-0.121803	0.210154	0.007436	0.006042	0.005640	-0.737793	0.496338	-0.434814	0.599857	-0.390183	-0.580079	-0.389149	-36.438499	-88.395158	-30.449994	0.024143	-0.014193	0.999608	0.919542	0.392640	-0.016635	-0.392250	0.919583	0.022531	0	0	0
13517	0	0	0	0	0	9.831547	-0.093710	0.228835	0.007140	0.010533	0.000303	-0.736816	0.493408	-0.434814	0.599894	-0.390140	-0.580070	-0.389150	-36.301909	-88.391654	-30.582467	0.024163	-0.014280	0.999606	0.919514	0.392707	-0.016617	-0.392315	0.919553	0.022620	0	0	0
13518	0	0	0	0	0	9.821832	-0.134551	0.223140	0.008187	0.010317	0.004800	-0.737305	0.498535	-0.436768	0.599937	-0.390113	-0.580051	-0.389137	-36.251837	-88.386684	-30.628712	0.024226	-0.014344	0.999604	0.919487	0.392769	-0.016648	-0.392374	0.919525	0.022704	0	0	0
13519	0	0	0	0	0	9.780507	-0.099811	0.249296	0.003216	0.005025	0.000853	-0.743652	0.493896	-0.422363	0.599952	-0.390093	-0.580050	-0.389135	-36.194213	-88.385440	-30.684259	0.024231	-0.014378	0.999603	0.919472	0.392802	-0.016638	-0.392407	0.919511	0.022738	0	0	0
13520	0	0	0	0	0	9.809612	-0.084962	0.206125	0.004448	0.005401	0.001698	-0.734619	0.495117	-0.422363	0.599968	-0.390078	-0.580045	-0.389133	-36.154820	-88.383791	-30.721965	0.024246	-0.014409	0.999602	0.919461	0.392830	-0.016640	-0.392434	0.919498	0.022773	0	0	0
13521	0	0	0	0	0	9.817871	-0.113563	0.188786	0.003739	0.004918	0.003101	-0.739502	0.497559	-0.420166	0.599977	-0.390078	-0.580034	-0.389136	-36.141446	-88.382238	-30.735688	0.024266	-0.014429	0.999601	0.919463	0.392824	-0.016650	-0.392428	0.919500	0.022799	0	0	0
13522	0	0	0	0	0	9.828560	-0.126040	0.247099	0.002477	0.009936	0.004925	-0.744873	0.492920	-0.432129	0.600009	-0.390069	-0.580006	-0.389139	-36.101988	-88.377399	-30.774587	0.024329	-0.014488	0.999599	0.919458	0.392834	-0.016684	-0.392435	0.919495	0.022878	0	0	0
13523	0	0	0	0	0	9.824627	-0.104900	0.211891	0.005013	0.009086	0.004510	-0.735840	0.502441	-0.438477	0.600037	-0.390057	-0.579984	-0.389139	-36.059005	-88.373423	-30.816502	0.024378	-0.014542	0.999597	0.919450	0.392852	-0.016708	-0.392451	0.919487	0.022947	0	0	0
13524	0	0	0	0	0	9.847949	-0.152669	0.198263	0.006088	0.003478	0.006338	-0.743408	0.497314	-0.435059	0.600060	-0.390055	-0.579979	-0.389114	-36.117471	-88.371096	-30.755368	0.024428	-0.014536	0.999596	0.919431	0.392895	-0.016755	-0.392493	0.919468	0.022963	0	0	0
