// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426EE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13511	0	0	0	0	0	4.487785	-2.860777	8.279383	-0.002311	0.000313	0.003198	-0.986328	-0.528076	-0.907715	-0.470072	-0.132292	0.249918	-0.836105	-19.260524	-27.140860	125.999994	-0.523063	0.719934	0.456180	-0.852183	-0.433147	-0.293542	-0.013738	-0.542290	0.840079	0	0	0
13512	0	0	0	0	0	4.513936	-2.874254	8.233339	0.001538	-0.001472	0.006233	-0.981201	-0.531738	-0.899658	-0.470061	-0.132303	0.249924	-0.836108	-19.260983	-27.142045	126.001588	-0.523077	0.719912	0.456198	-0.852175	-0.433162	-0.293546	-0.013720	-0.542308	0.840068	0	0	0
13513	0	0	0	0	0	4.487513	-2.861142	8.279405	0.001932	0.001865	0.005576	-0.990479	-0.531982	-0.898926	-0.470081	-0.132294	0.249922	-0.836099	-19.260613	-27.141414	125.998785	-0.523045	0.719942	0.456188	-0.852194	-0.433126	-0.293542	-0.013746	-0.542297	0.840075	0	0	0
13514	0	0	0	0	0	4.501107	-2.903337	8.247665	0.002465	-0.000609	0.004364	-0.987061	-0.531006	-0.898682	-0.470078	-0.132305	0.249921	-0.836099	-19.259938	-27.142486	125.999059	-0.523043	0.719932	0.456205	-0.852196	-0.433132	-0.293529	-0.013724	-0.542304	0.840070	0	0	0
13515	0	0	0	0	0	4.499774	-2.832380	8.265277	-0.000545	-0.002465	0.004167	-0.982910	-0.533691	-0.899170	-0.470077	-0.132320	0.249935	-0.836093	-19.260938	-27.144790	125.999535	-0.523039	0.719913	0.456241	-0.852199	-0.433120	-0.293538	-0.013715	-0.542339	0.840048	0	0	0
13516	0	0	0	0	0	4.511503	-2.863259	8.254945	0.002008	0.001429	0.003822	-0.984375	-0.530518	-0.902344	-0.470080	-0.132322	0.249931	-0.836093	-19.260177	-27.144861	125.999046	-0.523032	0.719917	0.456242	-0.852203	-0.433120	-0.293526	-0.013707	-0.542334	0.840051	0	0	0
13517	0	0	0	0	0	4.488904	-2.872899	8.258102	0.003088	0.001996	0.009514	-0.980469	-0.533691	-0.901855	-0.470085	-0.132311	0.249926	-0.836093	-19.260065	-27.143549	125.998213	-0.523028	0.719933	0.456221	-0.852205	-0.433114	-0.293528	-0.013725	-0.542318	0.840061	0	0	0
13518	0	0	0	0	0	4.503029	-2.855474	8.222564	0.000775	0.001734	0.001640	-0.982178	-0.528320	-0.905518	-0.470098	-0.132312	0.249924	-0.836086	-19.259376	-27.143868	125.996334	-0.523003	0.719948	0.456226	-0.852220	-0.433091	-0.293517	-0.013730	-0.542316	0.840063	0	0	0
13519	0	0	0	0	0	4.500870	-2.844121	8.244144	0.002389	-0.000173	0.006119	-0.992188	-0.532715	-0.889893	-0.470126	-0.132308	0.249927	-0.836070	-19.259000	-27.144190	125.992446	-0.522952	0.719982	0.456231	-0.852251	-0.433036	-0.293511	-0.013758	-0.542316	0.840062	0	0	0
13520	0	0	0	0	0	4.508461	-2.852173	8.276913	0.001932	0.001865	0.005577	-0.982422	-0.532227	-0.888916	-0.470122	-0.132306	0.249923	-0.836073	-19.258728	-27.143694	125.992931	-0.522961	0.719981	0.456224	-0.852246	-0.433047	-0.293508	-0.013754	-0.542308	0.840067	0	0	0
