// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426F2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13511	0	0	0	0	0	9.733883	-0.688402	-1.099275	0.004075	-0.000690	-0.002034	-0.646973	0.520020	0.974365	0.195519	-0.725464	-0.167956	-0.638173	-147.551452	-82.577491	-2.598396	0.129052	-0.005857	0.991620	0.493242	-0.867126	-0.069313	0.860266	0.498054	-0.109016	0	0	0
13512	0	0	0	0	0	9.716748	-0.679756	-1.114357	0.002990	0.003494	-0.006253	-0.643066	0.517334	0.980469	0.195504	-0.725456	-0.167973	-0.638182	-147.566924	-82.579682	-2.582759	0.129016	-0.005820	0.991625	0.493249	-0.867126	-0.069263	0.860268	0.498054	-0.109003	0	0	0
13513	0	0	0	0	0	9.716805	-0.679419	-1.114059	0.008149	0.001857	-0.001971	-0.653320	0.516113	0.981201	0.195523	-0.725452	-0.167996	-0.638175	-147.567555	-82.579525	-2.578580	0.129019	-0.005810	0.991625	0.493303	-0.867096	-0.069264	0.860236	0.498108	-0.109006	0	0	0
13514	0	0	0	0	0	9.723520	-0.709514	-1.098670	0.005569	0.002675	-0.004112	-0.647949	0.518799	0.979492	0.195524	-0.725445	-0.168014	-0.638178	-147.575536	-82.580661	-2.569006	0.129001	-0.005788	0.991628	0.493329	-0.867083	-0.069238	0.860224	0.498130	-0.108999	0	0	0
13515	0	0	0	0	0	9.692593	-0.694467	-1.094567	0.007538	0.002151	-0.003380	-0.643799	0.514404	0.979736	0.195532	-0.725439	-0.168036	-0.638176	-147.581471	-82.581297	-2.560656	0.128990	-0.005769	0.991629	0.493367	-0.867063	-0.069221	0.860204	0.498166	-0.108997	0	0	0
13516	0	0	0	0	0	9.720298	-0.680505	-1.079171	0.003701	-0.002342	-0.002037	-0.644775	0.519287	0.977783	0.195529	-0.725452	-0.168045	-0.638160	-147.594651	-82.579368	-2.546918	0.129025	-0.005739	0.991625	0.493375	-0.867059	-0.069214	0.860194	0.498173	-0.109041	0	0	0
13517	0	0	0	0	0	9.709818	-0.702247	-1.079223	0.003601	0.003199	-0.004844	-0.643311	0.514404	0.977783	0.195519	-0.725447	-0.168058	-0.638165	-147.605936	-82.580699	-2.535342	0.129003	-0.005712	0.991628	0.493382	-0.867057	-0.069180	0.860193	0.498176	-0.109035	0	0	0
13518	0	0	0	0	0	9.695990	-0.722202	-1.113345	0.004822	0.002611	-0.002025	-0.644287	0.519775	0.975830	0.195524	-0.725443	-0.168067	-0.638166	-147.606749	-82.581162	-2.533428	0.128995	-0.005707	0.991629	0.493399	-0.867048	-0.069174	0.860184	0.498192	-0.109029	0	0	0
13519	0	0	0	0	0	9.720424	-0.679626	-1.078596	0.007912	0.000563	-0.005471	-0.655273	0.515381	0.986328	0.195528	-0.725441	-0.168101	-0.638158	-147.623840	-82.581430	-2.513136	0.128993	-0.005662	0.991629	0.493450	-0.867022	-0.069139	0.860156	0.498238	-0.109046	0	0	0
13520	0	0	0	0	0	9.727594	-0.655403	-1.112673	0.005196	0.001024	-0.004116	-0.645264	0.517090	0.989258	0.195526	-0.725440	-0.168119	-0.638155	-147.635953	-82.581766	-2.499611	0.128988	-0.005631	0.991630	0.493473	-0.867011	-0.069113	0.860143	0.498258	-0.109056	0	0	0
