// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426ED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57202	0	0	0	0	0	9.714273	1.204564	-0.684441	-0.005378	0.011015	-0.003185	-0.722900	-0.575195	0.192627	0.355035	0.671398	-0.303162	0.575559	123.748392	-81.161029	0.597546	0.153650	0.001602	0.988124	-0.815772	-0.564085	0.127764	0.557591	-0.825715	-0.085364	0	0	0
57203	0	0	0	0	0	9.704454	1.172020	-0.679923	-0.004201	0.010146	-0.003734	-0.727783	-0.579346	0.197266	0.355068	0.671367	-0.303163	0.575573	123.720697	-81.163033	0.622174	0.153614	0.001668	0.988129	-0.815804	-0.564037	0.127777	0.557555	-0.825748	-0.085283	0	0	0
57204	0	0	0	0	0	9.705090	1.195899	-0.624369	-0.003216	0.001939	-0.000476	-0.735352	-0.573975	0.200439	0.355089	0.671344	-0.303197	0.575570	123.719548	-81.164967	0.618464	0.153581	0.001658	0.988135	-0.815856	-0.563967	0.127751	0.557488	-0.825795	-0.085262	0	0	0
57205	0	0	0	0	0	9.708356	1.175496	-0.637489	0.002414	-0.005739	-0.000258	-0.717041	-0.585205	0.199951	0.355065	0.671365	-0.303219	0.575548	123.751444	-81.163573	0.586621	0.153606	0.001573	0.988131	-0.815856	-0.563974	0.127723	0.557481	-0.825791	-0.085347	0	0	0
57206	0	0	0	0	0	9.745034	1.162886	-0.654748	0.013432	-0.005086	-0.003187	-0.726074	-0.580566	0.197266	0.355025	0.671398	-0.303206	0.575541	123.776638	-81.161846	0.566265	0.153636	0.001518	0.988126	-0.815807	-0.564047	0.127711	0.557544	-0.825741	-0.085419	0	0	0
57207	0	0	0	0	0	9.714218	1.205258	-0.684006	0.013050	-0.001520	0.002493	-0.724854	-0.580811	0.195557	0.354964	0.671422	-0.303199	0.575554	123.807330	-81.163102	0.541807	0.153615	0.001453	0.988130	-0.815752	-0.564141	0.127647	0.557630	-0.825677	-0.085476	0	0	0
57208	0	0	0	0	0	9.724042	1.238207	-0.687710	0.004401	-0.001705	-0.004469	-0.720703	-0.583740	0.199707	0.354968	0.671428	-0.303207	0.575541	123.813487	-81.161885	0.534514	0.153637	0.001433	0.988126	-0.815761	-0.564126	0.127655	0.557611	-0.825688	-0.085501	0	0	0
57209	0	0	0	0	0	9.744321	1.233861	-0.674883	0.005142	0.006097	-0.004578	-0.726563	-0.582764	0.208740	0.354966	0.671427	-0.303186	0.575554	123.801825	-81.162203	0.548333	0.153631	0.001470	0.988127	-0.815739	-0.564155	0.127668	0.557644	-0.825668	-0.085472	0	0	0
57210	0	0	0	0	0	9.714116	1.206287	-0.683641	-0.002337	0.003941	-0.007694	-0.722168	-0.583496	0.197754	0.355006	0.671414	-0.303188	0.575545	123.781468	-81.161003	0.564811	0.153651	0.001515	0.988124	-0.815772	-0.564096	0.127715	0.557590	-0.825708	-0.085438	0	0	0
57211	0	0	0	0	0	9.734383	1.202104	-0.670700	-0.008099	0.000279	-0.003262	-0.719971	-0.574707	0.201904	0.355036	0.671404	-0.303219	0.575521	123.782732	-81.160093	0.557871	0.153667	0.001496	0.988122	-0.815826	-0.564015	0.127727	0.557507	-0.825763	-0.085450	0	0	0
57212	0	0	0	0	0	9.696999	1.191631	-0.708638	-0.006425	0.004980	-0.005349	-0.726563	-0.575684	0.201660	0.355082	0.671377	-0.303237	0.575515	123.761190	-81.160449	0.573578	0.153660	0.001538	0.988123	-0.815882	-0.563928	0.127754	0.557427	-0.825822	-0.085398	0	0	0
57213	0	0	0	0	0	9.694899	1.165669	-0.621245	-0.007104	-0.006826	-0.004400	-0.720215	-0.573242	0.202148	0.355101	0.671391	-0.303274	0.575467	123.782448	-81.156734	0.546980	0.153725	0.001468	0.988113	-0.815929	-0.563856	0.127775	0.557341	-0.825872	-0.085481	0	0	0
57214	0	0	0	0	0	9.753941	1.174893	-0.712934	0.006372	0.000125	0.000111	-0.726074	-0.576416	0.206055	0.355073	0.671396	-0.303274	0.575478	123.795157	-81.158238	0.536905	0.153699	0.001440	0.988117	-0.815908	-0.563896	0.127735	0.557379	-0.825845	-0.085495	0	0	0
57215	0	0	0	0	0	9.714533	1.137650	-0.663872	-0.003147	-0.000962	-0.004031	-0.724121	-0.578125	0.197998	0.355087	0.671400	-0.303291	0.575457	123.801476	-81.156566	0.527721	0.153728	0.001416	0.988112	-0.815933	-0.563856	0.127749	0.557334	-0.825872	-0.085525	0	0	0
57216	0	0	0	0	0	9.710582	1.134793	-0.705933	0.005823	-0.000339	-0.003589	-0.723145	-0.575195	0.204346	0.355075	0.671409	-0.303285	0.575457	123.807476	-81.156149	0.523314	0.153736	0.001404	0.988111	-0.815917	-0.563880	0.127746	0.557355	-0.825856	-0.085543	0	0	0
57217	0	0	0	0	0	9.750557	1.196008	-0.700179	0.013302	0.001818	-0.000473	-0.723877	-0.578613	0.188232	0.355027	0.671428	-0.303262	0.575476	123.822001	-81.157057	0.515362	0.153720	0.001383	0.988113	-0.815856	-0.563976	0.127711	0.557449	-0.825790	-0.085566	0	0	0
57218	0	0	0	0	0	9.700693	1.196349	-0.666989	0.002850	0.003832	-0.002636	-0.728271	-0.579102	0.195313	0.355034	0.671415	-0.303265	0.575485	123.814390	-81.158514	0.522102	0.153695	0.001401	0.988117	-0.815867	-0.563962	0.127702	0.557440	-0.825799	-0.085535	0	0	0
57219	0	0	0	0	0	9.744634	1.166581	-0.654127	0.003094	0.006066	-0.001207	-0.723389	-0.581787	0.197510	0.355029	0.671405	-0.303261	0.575502	123.808560	-81.160427	0.528831	0.153662	0.001418	0.988122	-0.815862	-0.563974	0.127683	0.557456	-0.825791	-0.085504	0	0	0
57220	0	0	0	0	0	9.734162	1.204474	-0.669654	0.003965	0.006966	-0.004027	-0.724365	-0.578125	0.197998	0.355046	0.671385	-0.303256	0.575518	123.788865	-81.162208	0.547488	0.153631	0.001468	0.988127	-0.815874	-0.563956	0.127687	0.557448	-0.825804	-0.085443	0	0	0
57221	0	0	0	0	0	9.724328	1.171954	-0.665506	0.004523	0.008532	-0.004722	-0.720215	-0.568604	0.207031	0.355051	0.671376	-0.303232	0.575538	123.769085	-81.163232	0.569163	0.153612	0.001526	0.988130	-0.815855	-0.563979	0.127702	0.557480	-0.825787	-0.085389	0	0	0
57222	0	0	0	0	0	9.703964	1.177335	-0.677730	0.003792	0.001831	-0.009010	-0.721680	-0.572998	0.197021	0.355058	0.671386	-0.303203	0.575536	123.756623	-81.160917	0.583449	0.153652	0.001565	0.988124	-0.815831	-0.564003	0.127754	0.557505	-0.825771	-0.085384	0	0	0
57223	0	0	0	0	0	9.747769	1.242037	-0.630254	0.004456	-0.006808	0.000770	-0.726318	-0.577881	0.208496	0.355024	0.671413	-0.303225	0.575515	123.795037	-81.159671	0.546191	0.153674	0.001465	0.988120	-0.815821	-0.564026	0.127714	0.557513	-0.825756	-0.085481	0	0	0
57224	0	0	0	0	0	9.734010	1.205963	-0.669190	0.008421	0.000156	-0.003257	-0.729492	-0.578857	0.205322	0.355000	0.671426	-0.303209	0.575523	123.801980	-81.159563	0.542922	0.153676	0.001456	0.988120	-0.815785	-0.564080	0.127705	0.557565	-0.825719	-0.085498	0	0	0
57225	0	0	0	0	0	9.716951	1.190511	-0.694881	-0.002284	-0.001164	-0.002455	-0.721436	-0.578125	0.197021	0.355005	0.671430	-0.303229	0.575505	123.812637	-81.158578	0.529849	0.153694	0.001421	0.988118	-0.815808	-0.564047	0.127704	0.557526	-0.825741	-0.085531	0	0	0
57226	0	0	0	0	0	9.737261	1.185974	-0.681977	0.000496	0.005568	-0.001538	-0.725586	-0.581543	0.202881	0.355018	0.671408	-0.303238	0.575518	123.801391	-81.161029	0.539241	0.153651	0.001446	0.988124	-0.815830	-0.564019	0.127685	0.557505	-0.825761	-0.085482	0	0	0
57227	0	0	0	0	0	9.709764	1.208205	-0.723058	0.004523	0.008531	-0.004722	-0.723145	-0.581299	0.198730	0.355022	0.671399	-0.303213	0.575539	123.781616	-81.162054	0.560911	0.153633	0.001504	0.988127	-0.815812	-0.564042	0.127700	0.557538	-0.825744	-0.085428	0	0	0
